店名,均消
勇伯豆花,"
							本店均消 55 元						"
仙月緣蔬食館,"
							本店均消 230 元						"
歐！饡 鐵板燒,"
							本店均消 295 元						"
饌牛角尖(三峽旗艦店),"
							本店均消 180 元						"
台北永和豆漿大王,"
							本店均消 60 元						"
我的牛排館,"
							本店均消 150 元						"
康喜軒金牛角,"
							本店均消 35 元						"
好好吃蔥油餅,"
							本店均消 18 元						"
泰山大腸蚵仔麵線,"
							本店均消 50 元						"
新世紀鐵板美食(三峽和平店),"
							本店均消 50 元						"
三峽老街冰店,"
							本店均消 30 元						"
阿福伯養生藥膳,"
							本店均消 60 元						"
褔州師麥芽酥,"
							本店均消 100 元						"
食福小籠包專賣店,"
							本店均消 45 元						"
臭氣沖天之紅炮麻辣,"
							本店均消 50 元						"
冰工廠,"
							本店均消 0 元						"
自然步調,"
							本店均消 296 元						"
3個10元鍋貼,"
							本店均消 20 元						"
50嵐(三峽文化店),"
							本店均消 35 元						"
四海遊龍鍋貼專賣店,"
							本店均消 95 元						"
BRAVO普拉伯義大利麵坊(三峽店),"
							本店均消 383 元						"
三鶯福容飯店,"
							本店均消 1,263 元						"
麵屋。濃,"
							本店均消 299 元						"
呷冰站,"
							本店均消 70 元						"
大雄料理店,"
							本店均消 256 元						"
Ciao巧義大利麵,"
							本店均消 149 元						"
幸將手作坊,"
							本店均消 85 元						"
高迪咖啡館,"
							本店均消 159 元						"
陶轤食堂,"
							本店均消 347 元						"
TASTy 西堤牛排(三峽店),"
							本店均消 498 元						"
採色餃點,"
							本店均消 99 元						"
魔法義大利,"
							本店均消 117 元						"
胡同43,"
							本店均消 77 元						"
大板根森林溫泉渡假村-太子西餐廳,"
							本店均消 714 元						"
216莊園,"
							本店均消 210 元						"
MR.帕可(三峽店),"
							本店均消 210 元						"
牧童遙指客家村,"
							本店均消 270 元						"
三角湧養生滷味,"
							本店均消 105 元						"
Fantastic凡堤斯義式料理,"
							本店均消 214 元						"
8鍋臭臭鍋(北大店),"
							本店均消 114 元						"
韓讚(原：韓廚),"
							本店均消 249 元						"
蔚藍食府,"
							本店均消 325 元						"
B1 Cafe,"
							本店均消 100 元						"
桃子角複合式餐飲,"
							本店均消 170 元						"
泰蝦月亮蝦餅,"
							本店均消 59 元						"
聚北海道昆布鍋(三峽學成店),"
							本店均消 400 元						"
大同橋甕仔雞,"
							本店均消 333 元						"
品田牧場,"
							本店均消 446 元						"
甘泉魚麵(北大店),"
							本店均消 152 元						"
金帝王婚宴會館,"
							本店均消 3,800 元						"
ELSA CAFE,"
							本店均消 139 元						"
YummY Pasta 亞咪義大利麵,"
							本店均消 185 元						"
牛車水鐵板燒,"
							本店均消 213 元						"
慢思 Amour.Sacrifice,"
							本店均消 80 元						"
陸海空碳烤,"
							本店均消 146 元						"
御饌鼎皇(三峽北大店),"
							本店均消 202 元						"
邦朵麵包,"
							本店均消 235 元						"
三峽大寮茶文館,"
							本店均消 0 元						"
Bello Pasta,"
							本店均消 0 元						"
添財號,"
							本店均消 100 元						"
三峽市場老虎麵,"
							本店均消 80 元						"
兵早午晚餐 IC EATING HOUSE,"
							本店均消 99 元						"
普拉伯義大利坊(三峽店),"
							本店均消 175 元						"
春谷餐廳,"
							本店均消 425 元						"
鳶山景觀咖啡,"
							本店均消 230 元						"
吉米廚房北大店,"
							本店均消 267 元						"
三峽老街冰城,"
							本店均消 50 元						"
NineSky 九天,"
							本店均消 263 元						"
樂源仙境土雞城,"
							本店均消 285 元						"
李溪口食品-三峽黑豬肉香腸,"
							本店均消 15 元						"
李溪口老店,"
							本店均消 25 元						"
蚵之家,"
							本店均消 150 元						"
初原麵場,"
							本店均消 240 元						"
池家肉圓,"
							本店均消 60 元						"
好麥蚵仔麵線,"
							本店均消 44 元						"
夯牛屋,"
							本店均消 190 元						"
紫苑潮州砂鍋粥,"
							本店均消 335 元						"
嘉美鐵板燒,"
							本店均消 180 元						"
就這味,"
							本店均消 50 元						"
萃茶風‧大享食(三峽北大店),"
							本店均消 124 元						"
hana漾鐵板料理,"
							本店均消 407 元						"
皇品滷味,"
							本店均消 160 元						"
小眼睛歐爸們韓式料理,"
							本店均消 218 元						"
小聚餐酒館,"
							本店均消 352 元						"
WaWa樂園(三峽北大店),"
							本店均消 0 元						"
五花馬水餃樂活蔬食館(三峽店),"
							本店均消 101 元						"
有木里土雞城餐廳,"
							本店均消 440 元						"
大埔平價鐵板燒(三峽店),"
							本店均消 144 元						"
川邊烤肉丼,"
							本店均消 118 元						"
摩斯漢堡 MOS BURGER(三峽北大店),"
							本店均消 167 元						"
阿勃勒泰式料理,"
							本店均消 300 元						"
珍園螢火蟲花園,"
							本店均消 20 元						"
荒糖菓子,"
							本店均消 0 元						"
定食8 爭鮮餐飲,"
							本店均消 220 元						"
白雞老店黃大溪豆干,"
							本店均消 55 元						"
松柏園精緻早餐,"
							本店均消 77 元						"
孫東寶台式牛排教父(三峽大學店),"
							本店均消 250 元						"
黑霸牛肉麵專賣店,"
							本店均消 110 元						"
觀大小館,"
							本店均消 250 元						"
桂香餅店,"
							本店均消 57 元						"
古早味烤玉米,"
							本店均消 44 元						"
矻客食館,"
							本店均消 0 元						"
滬苑小館,"
							本店均消 297 元						"
三禾手打烏龍麵,"
							本店均消 180 元						"
拾浩食堂,"
							本店均消 126 元						"
千戶傳奇生態農場,"
							本店均消 600 元						"
黯然銷魂臭ㄇㄇ之戀愛麻辣,"
							本店均消 55 元						"
艾媽媽養生廚房,"
							本店均消 100 元						"
三禾手打麵,"
							本店均消 0 元						"
路易莎咖啡 Louisa Coffee(三峽學成店),"
							本店均消 129 元						"
老街飽腹區,"
							本店均消 50 元						"
鼎力牛肉麵,"
							本店均消 163 元						"
大嬸婆御膳房,"
							本店均消 180 元						"
三媽臭臭鍋(三峽北大分店),"
							本店均消 100 元						"
古典童話藝文俬廚坊,"
							本店均消 195 元						"
Piccolo Forno 小石窯.披薩,"
							本店均消 0 元						"
麗媽四季鍋(北大特區國際店),"
							本店均消 137 元						"
河堤田野小吃,"
							本店均消 0 元						"
板根食堂,"
							本店均消 0 元						"
鑫滿益食堂,"
							本店均消 108 元						"
帝一美食,"
							本店均消 84 元						"
SUBWAY(北大店),"
							本店均消 0 元						"
初芯初蒔,"
							本店均消 0 元						"
OVEN COFFEE 烤香咖啡(三峽北大店),"
							本店均消 138 元						"
味之屋,"
							本店均消 0 元						"
麵,"
							本店均消 85 元						"
義園坊義式麵屋,"
							本店均消 100 元						"
Rooster Burger & Café,"
							本店均消 218 元						"
廟口老街茶專賣店,"
							本店均消 20 元						"
德芳美早餐店,"
							本店均消 73 元						"
仩閤日本料理,"
							本店均消 192 元						"
熊空茶葉蛋,"
							本店均消 0 元						"
阿二冰茶(三峽店),"
							本店均消 103 元						"
吳媽媽大溪豆乾,"
							本店均消 56 元						"
八分休止符咖啡音樂,"
							本店均消 220 元						"
阿賢菜店,"
							本店均消 0 元						"
深海深土魠魚羹(三峽),"
							本店均消 40 元						"
怡蘭扁食,"
							本店均消 80 元						"
韓一美食館(北大店),"
							本店均消 70 元						"
APPLE 203 Breakfast,"
							本店均消 80 元						"
吉購吉日式丼飯專門店(三峽北大店),"
							本店均消 103 元						"
山東餃子館,"
							本店均消 90 元						"
丐幫滷味(北大分舵),"
							本店均消 147 元						"
丐幫滷味(三峽學成分舵),"
							本店均消 80 元						"
魯都香(三峽北大店),"
							本店均消 75 元						"
香港好棧燒臘小廚,"
							本店均消 232 元						"
農畉 (原紫苑潮洲沙鍋粥),"
							本店均消 250 元						"
D.P.H Motorcycle CLUB,"
							本店均消 120 元						"
臻品牛肉麵館,"
							本店均消 134 元						"
大同橋甕仔雞,"
							本店均消 225 元						"
邢媽媽傳統潤餅,"
							本店均消 38 元						"
BK麵包廚房,"
							本店均消 45 元						"
中壢周記牛肉麵(三峽店),"
							本店均消 85 元						"
享初平價牛排,"
							本店均消 240 元						"
三峽金牛角麵包坊,"
							本店均消 109 元						"
阿得的廚房,"
							本店均消 180 元						"
KatsuYia克拉麵,"
							本店均消 198 元						"
望梅,"
							本店均消 58 元						"
錢都日式涮涮鍋(三峽北大店),"
							本店均消 0 元						"
怡客咖啡 Ikari Coffee(北大校區店),"
							本店均消 110 元						"
SHARE創意料理,"
							本店均消 0 元						"
找点早點,"
							本店均消 95 元						"
漢堡大師(三峽北大店),"
							本店均消 90 元						"
李記大腸蚵仔麵線,"
							本店均消 65 元						"
雞婆香雞排,"
							本店均消 20 元						"
陳記香菇肉粥,"
							本店均消 45 元						"
合饍居,"
							本店均消 128 元						"
石二鍋(三峽大學店),"
							本店均消 407 元						"
小林碳烤,"
							本店均消 60 元						"
原牛,"
							本店均消 68 元						"
皇后鎮森林-開心麵包坊,"
							本店均消 100 元						"
豚將日本拉麵(北大店),"
							本店均消 125 元						"
紅面薑母鴨,"
							本店均消 0 元						"
師傅很忙平價鐵板燒(三峽北大店),"
							本店均消 237 元						"
韓濤館韓式燒肉,"
							本店均消 170 元						"
美美麵食館,"
							本店均消 70 元						"
弘爺漢堡(大同店),"
							本店均消 109 元						"
晨吉司漢肉排蛋吐司(三峽文化店),"
							本店均消 0 元						"
鳶山村餐廳,"
							本店均消 0 元						"
小樹甜點,"
							本店均消 280 元						"
QQ PASTA(原：NU PASTA),"
							本店均消 178 元						"
三角湧鵝肉亭,"
							本店均消 220 元						"
宜蘭蔥餅,"
							本店均消 35 元						"
老帝王薑母鴨,"
							本店均消 190 元						"
百年老店古早味冰,"
							本店均消 35 元						"
周氏牛肉麵,"
							本店均消 100 元						"
咖啡。停 Team Coffee,"
							本店均消 150 元						"
赤壁雞排,"
							本店均消 30 元						"
鍋貼王子,"
							本店均消 35 元						"
河南砂鍋手工扯麵,"
							本店均消 80 元						"
8樂12鍋(三峽中華店),"
							本店均消 100 元						"
八樂呷讚小吃,"
							本店均消 0 元						"
蛋打發號,"
							本店均消 104 元						"
姐妹海鮮鵝肉城,"
							本店均消 0 元						"
貴族世家牛排(三峽店),"
							本店均消 160 元						"
爭鮮迴轉壽司 SUSHI EXPRESS(三峽店),"
							本店均消 300 元						"
好旺角精緻早午餐下午茶,"
							本店均消 85 元						"
鄉村海鮮店,"
							本店均消 120 元						"
吉城熱炒,"
							本店均消 375 元						"
利品燻雞肉食品,"
							本店均消 0 元						"
烏醋麵黑白切,"
							本店均消 133 元						"
72號鬆餅堡,"
							本店均消 38 元						"
李 全蚵 筒仔油飯,"
							本店均消 100 元						"
厚道飲食店(愛國店),"
							本店均消 0 元						"
周師傅炸雞,"
							本店均消 75 元						"
建誼現滷滷味(文化店),"
							本店均消 145 元						"
灰太狼羊肉爐,"
							本店均消 369 元						"
Sizzle Burger & Bar,"
							本店均消 220 元						"
牛車水三心鐵板燒-五序板前燒,"
							本店均消 468 元						"
貝里意大利薄餅披薩,"
							本店均消 220 元						"
王太太餃子館,"
							本店均消 0 元						"
三峽春來園鱘龍魚餐廳,"
							本店均消 800 元						"
三峽春暉啟能中心,"
							本店均消 250 元						"
普門茶品,"
							本店均消 110 元						"
玄拉麵,"
							本店均消 217 元						"
親樂鍋,"
							本店均消 175 元						"
米瓦若咖啡,"
							本店均消 0 元						"
正德居,"
							本店均消 0 元						"
山中奇雞,"
							本店均消 500 元						"
台南豪哥牛肉湯,"
							本店均消 0 元						"
根 日式料理,"
							本店均消 320 元						"
三峽黑珍珠飯糰阿萬師紫米飯糰,"
							本店均消 0 元						"
麥當勞,"
							本店均消 125 元						"
正宗羹王專賣店,"
							本店均消 90 元						"
好滋味土雞莊,"
							本店均消 0 元						"
五丼拉麵,"
							本店均消 214 元						"
凱宴餐館,"
							本店均消 500 元						"
阿砂利土雞城,"
							本店均消 500 元						"
路易莎咖啡 Louisa Coffee(三峽家樂福店),"
							本店均消 60 元						"
蕉阿吐司(原：憨吉朗),"
							本店均消 140 元						"
老家Black Tea,"
							本店均消 175 元						"
同樂町 炭燒酒場,"
							本店均消 400 元						"
蘇記麵食館,"
							本店均消 98 元						"
市場小吃店,"
							本店均消 93 元						"
京熾串烤,"
							本店均消 69 元						"
樂芙漢堡,"
							本店均消 125 元						"
金三峽牛角烘焙,"
							本店均消 0 元						"
蜂樺蜂蜜專賣,"
							本店均消 150 元						"
焿霸王,"
							本店均消 60 元						"
王子平價牛排,"
							本店均消 130 元						"
北大精緻自助餐,"
							本店均消 85 元						"
弘爺漢堡(三峽店),"
							本店均消 100 元						"
窯烤披薩,"
							本店均消 170 元						"
翔順火鍋料專賣,"
							本店均消 110 元						"
壹咖啡 ecoffee,"
							本店均消 33 元						"
牧童遙指客家村,"
							本店均消 243 元						"
歐克義廚,"
							本店均消 0 元						"
三峽九鬮香腸,"
							本店均消 25 元						"
舞子拉麵居酒屋,"
							本店均消 154 元						"
三峽雙胞胎,"
							本店均消 50 元						"
邁哆哆日式脆皮炸雞,"
							本店均消 77 元						"
食尚蔬食坊,"
							本店均消 68 元						"
御膳自助餐,"
							本店均消 62 元						"
月珍香三峽大腸圈,"
							本店均消 74 元						"
馨之和風牛排,"
							本店均消 328 元						"
澎湖花枝丸,"
							本店均消 0 元						"
魔法義大利麵,"
							本店均消 100 元						"
巷仔內切仔麵店,"
							本店均消 80 元						"
紅櫻花食品,"
							本店均消 100 元						"
餃佼者,"
							本店均消 48 元						"
維羅納義大利麵(三峽店),"
							本店均消 0 元						"
麥當勞,"
							本店均消 0 元						"
澤の料理,"
							本店均消 0 元						"
阿香麵飯攤,"
							本店均消 0 元						"
1868咖啡烘焙館(三峽北大店),"
							本店均消 0 元						"
三峽麵線阿峯,"
							本店均消 0 元						"
拿坡里披薩‧炸雞,"
							本店均消 0 元						"
紅谷鐵板燒,"
							本店均消 0 元						"
紅燈籠蚵嗲,"
							本店均消 0 元						"
童嫂古早味糯米腸,"
							本店均消 0 元						"
全成土雞城,"
							本店均消 0 元						"
大樹下小吃,"
							本店均消 0 元						"
如旺素食(原理慧素食),"
							本店均消 0 元						"
黑面仔桶仔雞,"
							本店均消 0 元						"
慧祖素食坊,"
							本店均消 0 元						"
歇腳咖啡紡,"
							本店均消 0 元						"
東眼橋土雞城,"
							本店均消 0 元						"
祥鮮台菜海鮮餐廳,"
							本店均消 0 元						"
